Summary,Issue Type,Project Key,Description,Priority,Labels,Components,Assignee,Reporter,Due Date,Original Estimate,Environment,Linked Issues,Issue ID,Custom field (WBS Code),Custom field (Dependencies),Custom field (Dependency Type),Custom field (Effort Hours),Custom field (Duration Weeks),Custom field (Resources),Custom field (Deliverables),Custom field (Acceptance Criteria),Custom field (Risks),Custom field (Context)
A121 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A121,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A122 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A122,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A123 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A123,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A124 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A124,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A125 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A125,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A126 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A126,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A127 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A127,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A128 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A128,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A129 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A129,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A130 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A130,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
