Summary,Issue Type,Project Key,Description,Priority,Labels,Components,Assignee,Reporter,Due Date,Original Estimate,Environment,Linked Issues,Issue ID,Custom field (WBS Code),Custom field (Dependencies),Custom field (Dependency Type),Custom field (Effort Hours),Custom field (Duration Weeks),Custom field (Resources),Custom field (Deliverables),Custom field (Acceptance Criteria),Custom field (Risks),Custom field (Context)
A161 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A161,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A162 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A162,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A163 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A163,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A164 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A164,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A165 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A165,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A166 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A166,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A167 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A167,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A168 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A168,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A169 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A169,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A170 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A170,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
