Summary,Issue Type,Project Key,Description,Priority,Labels,Components,Assignee,Reporter,Due Date,Original Estimate,Environment,Linked Issues,Issue ID,Custom field (WBS Code),Custom field (Dependencies),Custom field (Dependency Type),Custom field (Effort Hours),Custom field (Duration Weeks),Custom field (Resources),Custom field (Deliverables),Custom field (Acceptance Criteria),Custom field (Risks),Custom field (Context)
A073 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A073,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A074 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A074,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A075 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A075,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A076 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A076,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A077 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A077,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A078 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A078,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A079 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A079,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A080 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A080,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A081 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A081,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A082 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A082,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A083 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A083,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A084 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A084,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A085 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A085,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
A086 - [Placeholder],Task,PROJ,"WBS: [TBD]
Description: [To be defined]
Deliverables: [To be defined]
Acceptance: [To be defined]
Context: [To be defined]",Medium,"activity-list phase-development",Development,,,,,,A086,[TBD],,FS,,,[To be defined],[To be defined],[To be defined],[To be defined],[To be defined]
